Portfolio Name,Property Name,Property Beds,"Property - # of Signed Renewals, Current Term","Property - # of Signed New Leases, Current Term","Property - # of Signed Leases, Current Term","Property - # of Renewals, Last Term - YTD","Property - # of New Leases, Last Term - YTD","Property - # of Signed Leases, Last Term - YTD",Property - Current Occupancy,Property - Prior Term PreLease,Property - Current Term PreLease,Property - Leases vs Last Year,Property - PreLease vs Last Year,Property - Weekly PreLease Gain,Property - Leases Remaining
AGC,Campustown 1008 S. 4th,158,56,108,164,21,138,159,96.20253164557%,100.6329113924%,103.79746835443%,5,3.1645569620253%,0%,-6
AGC,1047 Commonwealth Avenue,183,76,84,160,82,99,181,98.360655737705%,98.907103825137%,87.431693989071%,-21,-11.475409836066%,0%,23
AGC,Campustown 307 E. Daniel,40,16,23,39,5,35,40,97.5%,100%,97.5%,-1,-2.5%,0%,1
AGC,Campustown 501 S. 6th,104,57,51,108,27,77,104,99.038461538462%,100%,103.84615384615%,4,3.8461538461539%,0%,-4
AGC,Campustown 908 S. 1st,96,34,65,99,15,81,96,95.833333333333%,100%,103.125%,3,3.125%,0%,-3
AGC,Academy 65,309,144,121,265,133,140,273,77.99352750809%,88.349514563107%,85.760517799353%,-8,-2.588996763754%,0%,44
AGC,Academy Lincoln,632,249,402,651,168,442,610,96.044303797468%,96.518987341772%,103.00632911392%,41,6.4873417721519%,0%,-19
AGC,The Academy Chorro,0,23,75,98,37,55,92,,,,6,,,-98
AGC,The Academy Palomar,0,38,93,131,35,90,125,,,,6,,,-131
AGC,The Dean Campustown,672,281,402,683,209,460,669,96.279761904762%,99.553571428571%,101.6369047619%,14,2.0833333333333%,0%,-11
All GMH Properties,The Venue at North Campus,734,353,340,693,0,0,0,88.964577656676%,0%,94.41416893733%,693,94.41416893733%,0%,41
All GMH Properties,Life Tower,0,0,0,0,143,292,435,,,,-435,,,0
All GMH Properties,The Dean Reno,773,245,419,664,0,500,500,72.056921086675%,64.683053040103%,85.899094437257%,164,21.216041397154%,0%,109
All GMH Properties,Torre,558,166,360,526,147,362,509,89.605734767025%,91.218637992832%,94.26523297491%,17,3.0465949820789%,0%,32
All GMH Properties,Campustown 1008 S. 4th,158,56,108,164,21,138,159,96.20253164557%,100.6329113924%,103.79746835443%,5,3.1645569620253%,0%,-6
All GMH Properties,1047 Commonwealth Avenue,183,76,84,160,82,99,181,98.360655737705%,98.907103825137%,87.431693989071%,-21,-11.475409836066%,0%,23
All GMH Properties,Campustown 307 E. Daniel,40,16,23,39,5,35,40,97.5%,100%,97.5%,-1,-2.5%,0%,1
All GMH Properties,Campustown 501 S. 6th,104,57,51,108,27,77,104,99.038461538462%,100%,103.84615384615%,4,3.8461538461539%,0%,-4
All GMH Properties,Campustown 908 S. 1st,96,34,65,99,15,81,96,95.833333333333%,100%,103.125%,3,3.125%,0%,-3
All GMH Properties,Academy 65,309,144,121,265,133,140,273,77.99352750809%,88.349514563107%,85.760517799353%,-8,-2.588996763754%,0%,44
All GMH Properties,Academy Lincoln,632,249,402,651,168,442,610,96.044303797468%,96.518987341772%,103.00632911392%,41,6.4873417721519%,0%,-19
All GMH Properties,Shortbread Lofts,374,29,344,373,21,333,354,105.61497326203%,94.652406417112%,99.732620320856%,19,5.0802139037433%,0%,1
All GMH Properties,SOVA,816,462,491,953,383,434,817,99.142156862745%,100.1225490196%,116.78921568627%,136,16.666666666667%,0%,-137
All GMH Properties,The Academy at Frisco,640,341,343,684,255,384,639,99.84375%,99.84375%,106.875%,45,7.03125%,0%,-44
All GMH Properties,The Academy Chorro,0,23,75,98,37,55,92,,,,6,,,-98
All GMH Properties,The Academy on Charles,328,127,208,335,112,216,328,100%,100%,102.13414634146%,7,2.1341463414634%,0%,-7
All GMH Properties,The Academy Palomar,0,38,93,131,35,90,125,,,,6,,,-131
All GMH Properties,The Rise at Northgate,465,273,203,476,275,190,465,99.354838709677%,100%,102.36559139785%,11,2.3655913978495%,0%,-11
All GMH Properties,The Dean Campustown,672,281,402,683,209,460,669,96.279761904762%,99.553571428571%,101.6369047619%,14,2.0833333333333%,0%,-11
CBRE,Torre,558,166,360,526,147,362,509,89.605734767025%,91.218637992832%,94.26523297491%,17,3.0465949820789%,0%,32
CBRE,SOVA,816,462,491,953,383,434,817,99.142156862745%,100.1225490196%,116.78921568627%,136,16.666666666667%,0%,-137
CRG,The Dean Reno,773,245,419,664,0,500,500,72.056921086675%,64.683053040103%,85.899094437257%,164,21.216041397154%,0%,109
Medistar,Life Tower,0,0,0,0,143,292,435,,,,-435,,,0
Principal,Shortbread Lofts,374,29,344,373,21,333,354,105.61497326203%,94.652406417112%,99.732620320856%,19,5.0802139037433%,0%,1
Principal,The Academy at Frisco,640,341,343,684,255,384,639,99.84375%,99.84375%,106.875%,45,7.03125%,0%,-44
Principal,The Academy on Charles,328,127,208,335,112,216,328,100%,100%,102.13414634146%,7,2.1341463414634%,0%,-7
Principal,The Rise at Northgate,465,273,203,476,275,190,465,99.354838709677%,100%,102.36559139785%,11,2.3655913978495%,0%,-11
