report_date,property_id,property_name,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total
2024-12-19,739076,1008 S. 4th,321.0759493670886,0,158,0,158,0,155,0,0,0,0,0,0,0,25,2,1,0,26,2,0.012658227848101266,0,0,0,0,0,0,0,69,98,48,55,117,153,0.9683544303797469,0,0,0,0,0,0,0,0,0,158,0
2024-12-19,739085,1047 Commonwealth Avenue,347.5245901639344,0,183,0,183,0,163,0,0,0,4,0,4,0.02185792349726776,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,4,41,25,51,29,0.15846994535519127,0,0,0,0,0,0,0,0,0,183,0
2024-12-19,739079,307 E. Daniel,385,0,40,0,40,0,40,0,0,0,1,0,1,0.025,6,1,0,0,6,1,0.025,0,0,0,0,0,0,0,16,25,15,10,31,35,0.875,0,0,0,0,0,0,0,0,0,40,0
2024-12-19,739080,501 S. 6th,448.75961538461536,0,104,0,104,0,104,0,0,0,0,0,0,0,11,3,0,0,11,3,0.028846153846153848,1,0,0,0,1,0,0,32,79,51,17,83,96,0.9230769230769231,0,0,0,0,0,0,0,0,0,104,0
2024-12-19,739084,908 S. 1st,365.6979166666667,0,96,0,96,0,94,0,0,0,0,0,0,0,7,1,2,0,9,1,0.010416666666666666,2,0,0,0,2,0,0,39,54,32,20,71,74,0.7708333333333334,0,0,0,0,0,0,0,0,0,96,0
2024-12-19,641240,Academy 65,274.62459546925567,0,309,0,309,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,4,42,86,113,90,0.2912621359223301,0,0,0,0,0,0,0,0,0,309,0
2024-12-19,676055,Academy Lincoln,322.4810126582278,0,632,0,632,0,624,5,6,1,0,6,6,0.00949367088607595,2,7,0,0,2,7,0.011075949367088608,0,0,0,3,0,3,0.004746835443037975,110,174,139,161,249,335,0.5300632911392406,0,0,0,0,0,0,0,0,0,632,0
2024-12-19,1115679,ANOVA uCity Square,555.0672451193059,0,461,0,461,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.0021691973969631237,39,42,17,21,56,63,0.13665943600867678,0,0,0,0,0,0,0,0,0,461,0
2024-12-19,1161867,Courts at Spring Mill Station,955.4300518134716,0,386,0,386,0,354,0,0,0,9,0,9,0.023316062176165803,0,0,0,2,0,2,0.0051813471502590676,1,0,0,1,1,1,0.0025906735751295338,49,46,51,70,100,116,0.3005181347150259,0,0,0,0,0,0,0,0,0,386,0
2024-12-19,518044,Shortbread Lofts,296.29411764705884,0,374,0,374,0,374,2,4,0,0,2,4,0.0106951871657754,42,5,1,0,43,5,0.013368983957219251,0,0,0,0,0,0,0,278,333,24,25,302,358,0.9572192513368984,0,0,0,0,0,0,0,0,0,374,0
2024-12-19,952515,SOVA,394.1078431372549,0,816,0,816,0,804,4,2,3,3,7,5,0.006127450980392157,3,1,0,0,3,1,0.0012254901960784314,3,4,2,0,5,4,0.004901960784313725,93,30,205,285,298,315,0.3860294117647059,0,0,0,0,0,0,0,0,0,816,0
2024-12-19,577897,Station Nine,965.0433436532508,0,323,0,323,0,306,0,1,0,2,0,3,0.009287925696594427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,5,7,42,44,0.13622291021671826,0,0,0,0,0,0,0,0,0,323,0
2024-12-19,518041,The Academy at Frisco,367.2203125,0,640,0,640,0,632,5,7,0,2,5,9,0.0140625,26,2,0,0,26,2,0.003125,2,0,0,0,2,0,0,216,295,315,251,531,546,0.853125,0,0,0,0,0,0,0,0,0,640,0
2024-12-19,518042,The Academy on Charles,315.0701219512195,0,328,0,328,0,326,1,0,0,0,1,0,0,6,3,0,0,6,3,0.009146341463414634,2,2,0,0,2,2,0.006097560975609756,65,74,93,66,158,140,0.4268292682926829,0,0,0,0,0,0,0,0,0,328,0
2024-12-19,1197886,The Caswell at Runnymeade,1270.5222672064776,0,249,2,247,0,212,1,1,0,3,1,4,0.016194331983805668,0,0,0,0,0,0,0,0,2,0,8,0,10,0.04048582995951417,66,58,0,40,66,98,0.3967611336032389,0,0,0,0,0,0,0,0,0,247,0
2024-12-19,833617,The Dean Campustown,178.5625,0,672,0,672,0,656,2,1,0,5,2,6,0.008928571428571428,13,4,4,2,17,6,0.008928571428571428,0,0,2,1,2,1,0.001488095238095238,195,210,214,218,409,428,0.6369047619047619,0,0,0,0,0,0,0,0,0,672,0
2024-12-19,1197887,The Dean Reno,305.6106080206986,0,773,0,773,0,636,16,24,6,16,22,40,0.0517464424320828,10,3,2,0,12,3,0.0038809831824062097,13,3,2,1,15,4,0.00517464424320828,67,130,71,174,138,304,0.39327296248382926,0,0,0,0,0,0,0,0,0,773,0
2024-12-19,518046,The Rise at Northgate,376,0,465,0,465,0,465,2,1,0,1,2,2,0.004301075268817204,19,4,3,0,22,4,0.008602150537634409,3,13,0,1,3,14,0.030107526881720432,111,133,255,227,366,360,0.7741935483870968,0,0,0,0,0,0,0,0,0,465,0
2024-12-19,1143679,Torre,331.24014336917566,0,558,0,558,0,500,1,8,0,5,1,13,0.023297491039426525,7,3,0,2,7,5,0.008960573476702509,12,1,0,0,12,1,0.0017921146953405018,206,155,110,166,316,321,0.5752688172043011,0,0,0,0,0,0,0,0,0,558,0
2024-12-19,1311849,Venue at North Campus,104.07356948228883,0,734,0,734,0,630,7,4,15,8,22,12,0.01634877384196185,7,0,6,1,13,1,0.0013623978201634877,3,2,1,0,4,2,0.0027247956403269754,104,50,114,138,218,188,0.2561307901907357,0,0,0,0,0,0,0,0,0,734,0
