key,value,property_id,property_name,leasing_week
Reporting Cycle,Saturday-Friday,739085,1047 Commonwealth Avenue,2024-12-01
Lease Launch Date,45257,739085,1047 Commonwealth Avenue,2024-12-01
Renewal Launch Date,45222,739085,1047 Commonwealth Avenue,2024-12-01
Current Occupancy,0.99450000000000005,739085,1047 Commonwealth Avenue,2024-12-01
Last Year Occupancy,0,739085,1047 Commonwealth Avenue,2024-12-01
Current Pre-Lease,0.38800000000000001,739085,1047 Commonwealth Avenue,2024-12-01
Last Year Pre-Lease,0,739085,1047 Commonwealth Avenue,2024-12-01
Total Renewals,51,739085,1047 Commonwealth Avenue,2024-12-01
Total New Leases,20,739085,1047 Commonwealth Avenue,2024-12-01
Total Leases: Weekly,0,739085,1047 Commonwealth Avenue,2024-12-01
Traffic: Weekly,58,739085,1047 Commonwealth Avenue,2024-12-01
Current Incentive,None,739085,1047 Commonwealth Avenue,2024-12-01
Incentive Amount,0,739085,1047 Commonwealth Avenue,2024-12-01
Data Last Updated,45344,739085,1047 Commonwealth Avenue,2024-12-01
