property_id,property_name,day_of_week,hours
739085,1047 Commonwealth Avenue,Monday,9:00 – 6:00
739085,1047 Commonwealth Avenue,Tuesday,9:00 – 6:00
739085,1047 Commonwealth Avenue,Wednesday,9:00 – 6:00
739085,1047 Commonwealth Avenue,Thursday,9:00 – 6:00
739085,1047 Commonwealth Avenue,Friday,9:00 – 6:00
739085,1047 Commonwealth Avenue,Saturday,10:00 – 5:00
739085,1047 Commonwealth Avenue,Sunday,9:00 – 5:00
boylston,1330 Boylston,Monday,9:00 – 6:00
boylston,1330 Boylston,Tuesday,9:00 – 6:00
boylston,1330 Boylston,Wednesday,9:00 – 6:00
boylston,1330 Boylston,Thursday,9:00 – 6:00
boylston,1330 Boylston,Friday,9:00 – 6:00
boylston,1330 Boylston,Saturday,9:00 – 5:00
boylston,1330 Boylston,Sunday,9:00 – 5:00
bower,Bower,Monday,9:00 – 5:00
bower,Bower,Tuesday,9:00 – 5:00
bower,Bower,Wednesday,9:00 – 5:00
bower,Bower,Thursday,9:00 – 5:00
bower,Bower,Friday,9:00 – 5:00
bower,Bower,Saturday,9:00 – 5:00
bower,Bower,Sunday,9:00 – 5:00
vanness,Van Ness,Monday,9:00 – 6:00
vanness,Van Ness,Tuesday,9:00 – 6:00
vanness,Van Ness,Wednesday,9:00 – 6:00
vanness,Van Ness,Thursday,9:00 – 6:00
vanness,Van Ness,Friday,9:00 – 6:00
vanness,Van Ness,Saturday,9:00 – 5:00
vanness,Van Ness,Sunday,9:00 – 5:00
