"portfolio_id","portfolio","property_id","property_name"
"1","AGC",739085,"Campustown 1008 S. 4th"
"1","AGC",739085,"1047 Commonwealth Avenue"
"1","AGC",739079,"Campustown 307 E. Daniel"
"1","AGC",739080,"Campustown 501 S. 6th"
"1","AGC",739084,"Campustown 908 S. 1st"
"1","AGC",641240,"Academy 65"
"1","AGC",676055,"Academy Lincoln"
"1","AGC",535270,"The Academy Chorro"
"1","AGC",676054,"The Academy Palomar"
"1","AGC",833617,"The Dean Campustown"
"2","CBRE",1143679,"Torre"
"2","CBRE",952515,"SOVA"
"3","CRG",1197887,"The Dean Reno"
"4","Medistar",0,"Life Tower"
"5","Principal",518044,"Shortbread Lofts"
"5","Principal",518041,"The Academy at Frisco"
"5","Principal",518042,"The Academy on Charles"
"5","Principal",518046,"The Rise at Northgate"
"99","GMH",1311849,"The Venue at North Campus"
"99","GMH",0,"Life Tower"
"99","GMH",1197887,"The Dean Reno"
"99","GMH",1143679,"Torre"
"99","GMH",739085,"Campustown 1008 S. 4th"
"99","GMH",739085,"1047 Commonwealth Avenue"
"99","GMH",739079,"Campustown 307 E. Daniel"
"99","GMH",739080,"Campustown 501 S. 6th"
"99","GMH",739084,"Campustown 908 S. 1st"
"99","GMH",641240,"Academy 65"
"99","GMH",676055,"Academy Lincoln"
"99","GMH",518044,"Shortbread Lofts"
"99","GMH",952515,"SOVA"
"99","GMH",518041,"The Academy at Frisco"
"99","GMH",535270,"The Academy Chorro"
"99","GMH",518042,"The Academy on Charles"
"99","GMH",676054,"The Academy Palomar"
"99","GMH",518046,"The Rise at Northgate"
"99","GMH",833617,"The Dean Campustown"
